IdEmergencia,FechaRegistro,Distrito,TipoEmergencia,TiempoRespuesta_Min,UnidadEmergencia,CostoOperativo_PEN,NivelSeveridad,PrioridadDespacho
74,2026-06-12,Los Olivos,Emergencia Médica,55,SAMU,1468,BAJO,3
75,2025-10-08,Comas,Incendio,40,Ambulancia,3035,ALTO,1
76,2026-01-30,Independencia,Rescate,59,SAMU,1691,BAJO,2
77,2026-05-10,Independencia,Accidente de Tránsito,60,Bomberos,3441,ALTO,1
78,2025-12-22,Comas,Incendio,59,Bomberos,2908,CRÍTICO,1
79,2026-01-09,Los Olivos,Emergencia Médica,28,Bomberos,866,BAJO,2
80,2026-05-22,Carabayllo,Rescate,12,SAMU,3168,BAJO,3
81,2026-04-21,Carabayllo,Accidente de Tránsito,56,Bomberos,843,CRÍTICO,1
82,2026-02-10,Puente Piedra,Emergencia Médica,7,SAMU,2059,BAJO,2
83,2026-03-05,Los Olivos,Incendio,22,SAMU,303,CRÍTICO,1
84,2025-09-19,Comas,Incendio,32,SAMU,1071,CRÍTICO,1
85,2025-12-20,Los Olivos,Accidente de Tránsito,42,Bomberos,899,CRÍTICO,1
86,2026-02-07,Carabayllo,Accidente de Tránsito,12,SAMU,1303,CRÍTICO,1
87,2025-09-21,Puente Piedra,Incendio,59,Ambulancia,4436,CRÍTICO,1
88,2026-05-23,Carabayllo,Accidente de Tránsito,56,Ambulancia,1635,ALTO,1
89,2025-10-31,Independencia,Incendio,24,Patrullero,4349,ALTO,1
90,2026-04-19,Carabayllo,Emergencia Médica,55,SAMU,1327,BAJO,3
91,2025-10-28,Independencia,Incendio,59,SAMU,1334,ALTO,1
92,2025-07-24,Puente Piedra,Accidente de Tránsito,9,Ambulancia,2144,ALTO,1
93,2025-11-08,Puente Piedra,Incendio,60,Ambulancia,308,CRÍTICO,1
94,2025-11-20,Puente Piedra,Incendio,51,Bomberos,543,CRÍTICO,1
95,2025-07-10,Puente Piedra,Rescate,40,Bomberos,3681,BAJO,2
96,2025-10-31,Independencia,Rescate,13,Bomberos,1580,BAJO,2
97,2026-01-27,Los Olivos,Emergencia Médica,23,SAMU,4765,ALTO,2
98,2025-11-12,Los Olivos,Incendio,11,Ambulancia,1539,ALTO,1
99,2026-01-14,Puente Piedra,Accidente de Tránsito,57,SAMU,1867,ALTO,1
100,2025-07-08,Los Olivos,Accidente de Tránsito,52,SAMU,2118,CRÍTICO,1
101,2026-04-11,Carabayllo,Rescate,29,Patrullero,3718,BAJO,3
102,2026-03-05,Puente Piedra,Rescate,40,Patrullero,4482,BAJO,3
103,2026-06-08,Comas,Incendio,56,Patrullero,2126,ALTO,1
104,2025-11-18,Independencia,Rescate,58,Bomberos,2337,BAJO,3
105,2025-12-06,Puente Piedra,Accidente de Tránsito,23,Patrullero,4039,CRÍTICO,1
106,2025-11-11,Carabayllo,Rescate,60,Bomberos,4346,ALTO,3
107,2025-08-18,Los Olivos,Accidente de Tránsito,6,Bomberos,4043,CRÍTICO,1
108,2026-06-06,Los Olivos,Rescate,9,SAMU,3483,MEDIO,2
109,2025-07-19,Comas,Accidente de Tránsito,6,SAMU,2400,CRÍTICO,1
110,2025-10-31,Comas,Rescate,5,Bomberos,2354,ALTO,2
111,2025-12-26,Independencia,Incendio,36,Patrullero,3682,ALTO,1
112,2025-08-15,Independencia,Accidente de Tránsito,44,Ambulancia,3587,ALTO,1
113,2026-03-28,Los Olivos,Emergencia Médica,28,Bomberos,1735,BAJO,2
114,2026-04-11,Carabayllo,Incendio,42,Bomberos,693,CRÍTICO,1
115,2026-02-07,Comas,Emergencia Médica,53,SAMU,1835,BAJO,3
116,2026-06-14,Independencia,Incendio,13,SAMU,1197,ALTO,1
117,2025-10-15,Independencia,Rescate,16,SAMU,2449,MEDIO,3
118,2026-02-12,Independencia,Accidente de Tránsito,6,Bomberos,4168,CRÍTICO,1
119,2025-09-02,Los Olivos,Rescate,56,Ambulancia,4154,BAJO,3
120,2025-10-19,Puente Piedra,Rescate,29,Patrullero,2107,ALTO,3
121,2025-08-28,Comas,Incendio,54,Ambulancia,3745,ALTO,1
122,2026-07-04,Puente Piedra,Accidente de Tránsito,33,SAMU,4440,CRÍTICO,1
123,2025-10-20,Carabayllo,Emergencia Médica,21,Patrullero,2806,MEDIO,2
124,2025-08-12,Los Olivos,Incendio,48,Ambulancia,4109,ALTO,1
125,2025-12-18,Comas,Accidente de Tránsito,30,Bomberos,4414,ALTO,1
126,2026-05-29,Independencia,Rescate,19,Ambulancia,4977,MEDIO,3
127,2025-10-24,Carabayllo,Rescate,54,Bomberos,2729,BAJO,2
128,2025-10-03,Comas,Emergencia Médica,53,Patrullero,313,BAJO,2
129,2026-01-15,Puente Piedra,Incendio,42,Patrullero,2813,ALTO,1
130,2025-10-21,Puente Piedra,Incendio,13,Patrullero,2302,CRÍTICO,1
131,2026-05-08,Comas,Emergencia Médica,13,SAMU,2739,MEDIO,2
132,2025-12-21,Puente Piedra,Incendio,47,SAMU,3222,CRÍTICO,1
133,2026-03-20,Independencia,Rescate,15,Bomberos,3234,MEDIO,3
134,2025-11-06,Comas,Incendio,60,Patrullero,577,CRÍTICO,1
135,2025-09-16,Carabayllo,Accidente de Tránsito,56,Ambulancia,1837,CRÍTICO,1
136,2026-03-21,Comas,Rescate,6,Bomberos,883,ALTO,3
137,2025-12-29,Carabayllo,Incendio,57,SAMU,2045,CRÍTICO,1
138,2025-08-31,Comas,Accidente de Tránsito,52,SAMU,2718,CRÍTICO,1
139,2026-04-28,Carabayllo,Accidente de Tránsito,31,Bomberos,4149,CRÍTICO,1
140,2025-07-16,Los Olivos,Emergencia Médica,15,Ambulancia,3881,ALTO,2
141,2026-04-09,Los Olivos,Incendio,45,Bomberos,2282,ALTO,1
142,2025-07-10,Carabayllo,Incendio,46,SAMU,3412,ALTO,1
143,2025-09-09,Independencia,Incendio,59,SAMU,3335,CRÍTICO,1
144,2025-09-24,Independencia,Rescate,22,SAMU,1544,MEDIO,3
145,2025-09-26,Los Olivos,Rescate,31,SAMU,3139,MEDIO,3
146,2025-10-17,Independencia,Rescate,51,Bomberos,688,MEDIO,3
147,2025-09-15,Los Olivos,Incendio,17,Ambulancia,938,CRÍTICO,1
148,2025-09-16,Comas,Accidente de Tránsito,49,SAMU,2588,ALTO,1
149,2026-06-10,Carabayllo,Incendio,22,SAMU,562,ALTO,1
150,2025-12-30,Independencia,Incendio,10,SAMU,2564,ALTO,1
151,2025-09-08,Independencia,Rescate,57,Ambulancia,1322,ALTO,3
152,2026-02-09,Los Olivos,Incendio,29,Patrullero,414,CRÍTICO,1
153,2026-03-31,Comas,Rescate,57,Patrullero,333,BAJO,3
154,2025-09-20,Los Olivos,Emergencia Médica,36,Patrullero,2899,ALTO,2
155,2026-01-30,Puente Piedra,Incendio,22,Patrullero,2550,CRÍTICO,1
156,2025-09-08,Carabayllo,Rescate,16,Bomberos,989,ALTO,3
157,2025-08-19,Comas,Incendio,56,Patrullero,2532,ALTO,1
158,2025-11-30,Independencia,Incendio,51,Ambulancia,4526,ALTO,1
159,2025-11-04,Comas,Emergencia Médica,35,Ambulancia,4595,BAJO,2
160,2026-02-19,Los Olivos,Emergencia Médica,41,Patrullero,346,BAJO,2
161,2025-08-07,Comas,Rescate,17,SAMU,4714,MEDIO,3
162,2026-03-30,Carabayllo,Accidente de Tránsito,55,Ambulancia,3117,CRÍTICO,1
163,2026-02-11,Comas,Rescate,8,Ambulancia,4565,BAJO,3
164,2026-03-28,Los Olivos,Emergencia Médica,40,Patrullero,3825,ALTO,2
165,2025-11-20,Comas,Rescate,39,SAMU,3505,ALTO,3
166,2026-02-15,Puente Piedra,Accidente de Tránsito,36,Bomberos,681,CRÍTICO,1
167,2025-11-30,Puente Piedra,Incendio,58,Bomberos,3704,ALTO,1
168,2025-09-25,Puente Piedra,Emergencia Médica,36,Bomberos,1293,BAJO,2
169,2026-06-28,Puente Piedra,Accidente de Tránsito,51,SAMU,4170,ALTO,1
170,2026-05-16,Comas,Emergencia Médica,30,Patrullero,4707,MEDIO,3
171,2026-04-05,Los Olivos,Accidente de Tránsito,53,Ambulancia,1302,CRÍTICO,1
172,2025-11-12,Independencia,Rescate,36,SAMU,1944,BAJO,2
173,2025-09-04,Independencia,Rescate,60,Bomberos,2553,MEDIO,2
174,2026-05-25,Independencia,Incendio,49,Patrullero,4425,ALTO,1
175,2025-07-30,Carabayllo,Emergencia Médica,29,SAMU,1369,ALTO,3
176,2025-12-22,Puente Piedra,Incendio,14,SAMU,609,ALTO,1
177,2026-05-15,Los Olivos,Rescate,34,Bomberos,1942,ALTO,3
178,2025-07-11,Carabayllo,Rescate,52,Ambulancia,2502,ALTO,3
179,2025-09-19,Puente Piedra,Accidente de Tránsito,9,SAMU,1268,ALTO,1
180,2025-11-08,Los Olivos,Emergencia Médica,20,SAMU,2696,ALTO,2
181,2026-02-05,Los Olivos,Accidente de Tránsito,8,SAMU,2181,ALTO,1
182,2025-12-02,Independencia,Rescate,21,SAMU,2984,MEDIO,3
183,2026-05-27,Independencia,Rescate,23,Patrullero,4405,ALTO,2
184,2025-09-27,Puente Piedra,Incendio,33,Patrullero,1459,CRÍTICO,1
185,2026-01-28,Independencia,Rescate,21,Ambulancia,3374,BAJO,3
186,2026-04-18,Los Olivos,Emergencia Médica,20,Bomberos,4154,BAJO,2
187,2025-09-30,Puente Piedra,Incendio,54,SAMU,474,ALTO,1
188,2025-12-19,Comas,Incendio,33,Ambulancia,509,ALTO,1
189,2026-02-09,Puente Piedra,Rescate,12,Ambulancia,3041,ALTO,2
190,2025-09-05,Los Olivos,Accidente de Tránsito,54,SAMU,3515,CRÍTICO,1
191,2026-05-11,Puente Piedra,Rescate,21,Patrullero,2637,BAJO,3
192,2026-02-07,Carabayllo,Emergencia Médica,55,Bomberos,3016,ALTO,3
193,2025-12-28,Carabayllo,Rescate,53,Ambulancia,4713,ALTO,3
194,2026-04-03,Carabayllo,Incendio,25,SAMU,4129,CRÍTICO,1
195,2025-09-12,Comas,Emergencia Médica,29,Ambulancia,881,MEDIO,2
196,2025-07-07,Comas,Accidente de Tránsito,30,Patrullero,4241,ALTO,1
197,2025-07-13,Los Olivos,Incendio,21,Patrullero,1664,CRÍTICO,1
198,2025-09-08,Puente Piedra,Incendio,13,Ambulancia,1760,ALTO,1
199,2026-01-21,Independencia,Emergencia Médica,7,Ambulancia,3268,MEDIO,3
200,2026-02-07,Comas,Accidente de Tránsito,28,Ambulancia,2989,CRÍTICO,1
201,2025-08-10,Los Olivos,Rescate,39,Ambulancia,2889,BAJO,2
202,2025-09-25,Comas,Accidente de Tránsito,30,Patrullero,935,CRÍTICO,1
203,2026-03-07,Independencia,Rescate,44,SAMU,1387,BAJO,3
204,2025-12-03,Los Olivos,Incendio,23,SAMU,1538,CRÍTICO,1
205,2025-08-28,Independencia,Emergencia Médica,9,Bomberos,661,MEDIO,2
206,2026-05-26,Los Olivos,Accidente de Tránsito,58,SAMU,1600,ALTO,1
207,2026-02-03,Carabayllo,Emergencia Médica,26,Ambulancia,4511,ALTO,3
208,2026-06-03,Carabayllo,Emergencia Médica,39,SAMU,1675,ALTO,3
209,2026-02-17,Carabayllo,Accidente de Tránsito,58,Bomberos,4414,ALTO,1
210,2026-02-04,Independencia,Emergencia Médica,37,Bomberos,1090,BAJO,3
211,2025-09-10,Independencia,Incendio,49,SAMU,1429,CRÍTICO,1
212,2026-04-22,Comas,Accidente de Tránsito,18,Patrullero,3563,CRÍTICO,1
213,2025-08-19,Independencia,Incendio,53,Ambulancia,886,CRÍTICO,1
214,2026-03-07,Carabayllo,Accidente de Tránsito,48,Patrullero,3320,ALTO,1
215,2026-03-19,Comas,Accidente de Tránsito,49,Ambulancia,4689,ALTO,1
216,2026-01-25,Carabayllo,Emergencia Médica,27,Patrullero,663,MEDIO,3
217,2025-09-26,Comas,Emergencia Médica,21,Ambulancia,1358,MEDIO,2
218,2026-03-12,Puente Piedra,Emergencia Médica,8,SAMU,3371,MEDIO,2
219,2025-08-18,Independencia,Accidente de Tránsito,45,Ambulancia,625,CRÍTICO,1
220,2025-10-22,Puente Piedra,Emergencia Médica,9,Bomberos,795,MEDIO,2
221,2025-10-09,Carabayllo,Accidente de Tránsito,10,Ambulancia,3206,CRÍTICO,1
222,2025-12-23,Comas,Accidente de Tránsito,52,Bomberos,2443,CRÍTICO,1
223,2026-04-29,Independencia,Rescate,46,Patrullero,3326,ALTO,3
224,2026-03-18,Los Olivos,Accidente de Tránsito,43,Bomberos,2766,CRÍTICO,1
225,2026-06-27,Carabayllo,Emergencia Médica,27,Patrullero,4265,MEDIO,3
226,2025-08-14,Puente Piedra,Accidente de Tránsito,11,Bomberos,2119,CRÍTICO,1
227,2026-02-03,Carabayllo,Accidente de Tránsito,7,Ambulancia,2710,CRÍTICO,1
228,2026-05-29,Carabayllo,Incendio,13,Patrullero,3999,ALTO,1
229,2025-09-25,Puente Piedra,Emergencia Médica,56,Bomberos,450,ALTO,3
230,2026-02-14,Carabayllo,Accidente de Tránsito,49,SAMU,2064,CRÍTICO,1
231,2026-01-27,Comas,Accidente de Tránsito,26,Ambulancia,2629,CRÍTICO,1
232,2025-11-13,Los Olivos,Incendio,38,Ambulancia,4450,CRÍTICO,1
233,2026-06-04,Los Olivos,Rescate,41,Ambulancia,4677,BAJO,3
234,2026-06-05,Comas,Incendio,28,Bomberos,4339,CRÍTICO,1
235,2025-07-30,Carabayllo,Emergencia Médica,10,Bomberos,2787,BAJO,3
236,2026-05-29,Independencia,Rescate,34,SAMU,1760,BAJO,2
237,2025-12-20,Comas,Incendio,38,Patrullero,1966,CRÍTICO,1
238,2026-02-16,Independencia,Accidente de Tránsito,45,Bomberos,4597,ALTO,1
239,2026-01-30,Comas,Emergencia Médica,57,Bomberos,3326,BAJO,2
240,2026-03-12,Puente Piedra,Rescate,47,Ambulancia,3988,ALTO,3
241,2025-08-22,Los Olivos,Incendio,47,Bomberos,3369,CRÍTICO,1
242,2025-08-29,Carabayllo,Incendio,6,Ambulancia,4919,ALTO,1
243,2025-08-25,Carabayllo,Rescate,52,Patrullero,2147,MEDIO,3
244,2025-10-26,Puente Piedra,Accidente de Tránsito,7,Patrullero,2042,ALTO,1
245,2025-10-25,Carabayllo,Rescate,52,SAMU,1900,BAJO,2
246,2025-09-15,Carabayllo,Incendio,27,Patrullero,3181,CRÍTICO,1
247,2026-06-13,Independencia,Emergencia Médica,14,Ambulancia,441,BAJO,3
248,2026-01-27,Carabayllo,Incendio,15,Ambulancia,2321,CRÍTICO,1
249,2025-12-18,Comas,Rescate,13,Ambulancia,3878,BAJO,3
250,2025-11-23,Los Olivos,Incendio,34,Bomberos,1284,CRÍTICO,1
251,2025-07-26,Puente Piedra,Rescate,39,Patrullero,2533,BAJO,3
252,2025-11-14,Comas,Emergencia Médica,6,Bomberos,2986,ALTO,3
253,2026-01-15,Los Olivos,Emergencia Médica,48,SAMU,3233,ALTO,3
254,2025-07-20,Comas,Incendio,6,Bomberos,1032,ALTO,1
255,2025-10-03,Puente Piedra,Accidente de Tránsito,42,Ambulancia,3290,CRÍTICO,1
256,2026-03-07,Carabayllo,Emergencia Médica,24,Bomberos,3436,MEDIO,2
257,2025-09-12,Independencia,Emergencia Médica,20,Ambulancia,2834,BAJO,2
258,2026-05-09,Independencia,Emergencia Médica,13,Bomberos,2018,ALTO,3
259,2026-06-08,Comas,Accidente de Tránsito,49,SAMU,4721,ALTO,1
260,2025-07-09,Los Olivos,Rescate,7,Bomberos,3872,BAJO,3
261,2025-12-28,Puente Piedra,Rescate,34,Patrullero,4071,BAJO,3
262,2025-08-23,Puente Piedra,Rescate,38,Ambulancia,1200,MEDIO,3
263,2026-02-23,Comas,Incendio,54,Patrullero,2756,CRÍTICO,1
264,2026-02-24,Los Olivos,Incendio,46,Ambulancia,824,ALTO,1
265,2025-12-25,Los Olivos,Rescate,57,SAMU,3769,MEDIO,3
266,2025-10-04,Carabayllo,Accidente de Tránsito,31,Patrullero,2253,CRÍTICO,1
267,2026-07-05,Independencia,Accidente de Tránsito,7,Ambulancia,909,CRÍTICO,1
268,2025-08-30,Los Olivos,Rescate,7,Bomberos,4916,ALTO,2
269,2025-07-07,Carabayllo,Emergencia Médica,44,Ambulancia,3373,ALTO,3
270,2026-06-26,Independencia,Incendio,32,Bomberos,4611,CRÍTICO,1
271,2025-08-04,Carabayllo,Incendio,25,Patrullero,4277,ALTO,1
272,2025-09-30,Puente Piedra,Emergencia Médica,58,Bomberos,3125,ALTO,3
273,2025-12-01,Los Olivos,Rescate,11,Ambulancia,4607,ALTO,2
274,2025-10-04,Comas,Incendio,55,Bomberos,481,CRÍTICO,1
275,2025-09-09,Independencia,Incendio,37,Patrullero,4650,CRÍTICO,1
276,2025-10-07,Independencia,Emergencia Médica,47,Bomberos,1636,BAJO,3
277,2026-03-16,Los Olivos,Accidente de Tránsito,10,Patrullero,2955,CRÍTICO,1
278,2026-04-05,Carabayllo,Emergencia Médica,55,Patrullero,528,MEDIO,2
279,2025-10-17,Independencia,Accidente de Tránsito,13,Patrullero,4594,ALTO,1
280,2025-11-25,Carabayllo,Incendio,45,Ambulancia,424,CRÍTICO,1
281,2026-06-13,Puente Piedra,Emergencia Médica,44,SAMU,2239,ALTO,3
282,2026-06-04,Independencia,Accidente de Tránsito,45,Patrullero,1407,CRÍTICO,1
283,2026-04-24,Los Olivos,Incendio,46,Bomberos,4488,ALTO,1
284,2025-12-14,Puente Piedra,Accidente de Tránsito,53,Patrullero,4275,CRÍTICO,1
285,2025-11-24,Comas,Incendio,54,Patrullero,3251,ALTO,1
286,2026-02-18,Puente Piedra,Emergencia Médica,21,Patrullero,1999,MEDIO,3
287,2026-06-08,Puente Piedra,Incendio,44,Ambulancia,4713,CRÍTICO,1
288,2025-12-23,Carabayllo,Emergencia Médica,60,Ambulancia,4395,ALTO,2
289,2026-05-17,Los Olivos,Accidente de Tránsito,19,SAMU,3624,CRÍTICO,1
290,2025-09-27,Puente Piedra,Incendio,28,SAMU,3482,CRÍTICO,1
291,2026-06-21,Comas,Emergencia Médica,18,Bomberos,4383,ALTO,3
292,2025-09-09,Comas,Accidente de Tránsito,33,Ambulancia,3069,ALTO,1
293,2025-09-26,Carabayllo,Incendio,27,SAMU,3364,CRÍTICO,1
294,2026-06-12,Los Olivos,Accidente de Tránsito,13,Patrullero,802,ALTO,1
295,2026-02-10,Independencia,Emergencia Médica,55,Ambulancia,461,ALTO,3
296,2025-11-11,Los Olivos,Emergencia Médica,18,Bomberos,3311,ALTO,3
297,2025-09-08,Los Olivos,Emergencia Médica,7,Bomberos,2770,BAJO,2
298,2025-10-27,Comas,Accidente de Tránsito,19,Ambulancia,1791,ALTO,1
299,2025-09-11,Puente Piedra,Accidente de Tránsito,25,Bomberos,2466,CRÍTICO,1
300,2026-01-09,Comas,Accidente de Tránsito,16,Bomberos,4594,CRÍTICO,1
301,2025-07-27,Los Olivos,Emergencia Médica,21,Ambulancia,1168,BAJO,3
302,2026-05-21,Los Olivos,Accidente de Tránsito,44,Patrullero,3624,ALTO,1
303,2026-02-12,Carabayllo,Emergencia Médica,46,Patrullero,461,ALTO,2
304,2026-06-25,Comas,Emergencia Médica,40,SAMU,4467,BAJO,3
305,2025-10-19,Los Olivos,Incendio,7,SAMU,4286,ALTO,1
306,2026-02-10,Comas,Incendio,50,Patrullero,938,ALTO,1
307,2025-11-11,Comas,Accidente de Tránsito,20,SAMU,4389,CRÍTICO,1
308,2026-06-19,Comas,Accidente de Tránsito,14,SAMU,1388,ALTO,1
309,2026-02-10,Los Olivos,Rescate,37,Ambulancia,2027,BAJO,2
310,2026-02-28,Carabayllo,Rescate,60,SAMU,3226,ALTO,2
311,2025-08-25,Los Olivos,Rescate,52,SAMU,2585,MEDIO,3
312,2026-02-23,Independencia,Incendio,12,SAMU,4725,CRÍTICO,1
313,2025-10-14,Los Olivos,Emergencia Médica,52,SAMU,1867,BAJO,2
314,2025-08-22,Los Olivos,Accidente de Tránsito,7,SAMU,2006,ALTO,1
315,2026-01-11,Los Olivos,Incendio,15,Bomberos,1087,ALTO,1
316,2025-09-22,Los Olivos,Accidente de Tránsito,40,Patrullero,2045,ALTO,1
317,2026-03-25,Los Olivos,Emergencia Médica,11,Patrullero,558,MEDIO,2
318,2025-07-24,Los Olivos,Accidente de Tránsito,38,SAMU,3905,ALTO,1
319,2025-11-24,Puente Piedra,Emergencia Médica,54,SAMU,3686,ALTO,3
320,2026-06-30,Independencia,Incendio,41,Patrullero,4921,CRÍTICO,1
321,2026-01-21,Comas,Emergencia Médica,17,Ambulancia,1981,BAJO,2
322,2025-10-22,Independencia,Rescate,32,Ambulancia,3955,MEDIO,2
323,2025-08-23,Independencia,Incendio,48,Patrullero,4184,CRÍTICO,1
324,2026-06-30,Carabayllo,Incendio,57,SAMU,4686,ALTO,1
325,2025-12-18,Independencia,Emergencia Médica,14,Bomberos,4668,BAJO,3
326,2026-01-04,Carabayllo,Rescate,56,Ambulancia,1845,ALTO,2
327,2025-08-11,Comas,Accidente de Tránsito,46,Patrullero,4636,ALTO,1
328,2025-10-31,Independencia,Rescate,38,Ambulancia,3821,BAJO,2
329,2026-01-08,Puente Piedra,Emergencia Médica,14,SAMU,1140,MEDIO,3
330,2026-03-01,Los Olivos,Rescate,48,Ambulancia,3977,MEDIO,2
331,2026-01-25,Independencia,Incendio,47,Bomberos,3622,CRÍTICO,1
