FechaRegistro,Distrito,TipoEmergencia,TiempoRespuesta_Min,UnidadEmergencia,CostoOperativo_PEN,NivelSeveridad,PrioridadDespacho
2026-02-28,Carabayllo,Incendio,60,SAMU,1390,CRÍTICO,1
2026-06-10,Independencia,Accidente de Tránsito,10,Bomberos,2877,CRÍTICO,1
2026-02-25,Comas,Accidente de Tránsito,23,Bomberos,4537,ALTO,1
2026-04-20,Comas,Accidente de Tránsito,53,SAMU,956,ALTO,1
2026-01-11,Carabayllo,Rescate,26,Patrullero,307,ALTO,2
2026-01-20,Independencia,Incendio,20,Ambulancia,3881,ALTO,1
2026-02-24,Los Olivos,Rescate,30,Bomberos,1754,ALTO,2
2026-01-26,Independencia,Accidente de Tránsito,15,Bomberos,3000,ALTO,1
2026-05-04,Independencia,Rescate,21,Bomberos,2891,ALTO,2
2026-05-20,Independencia,Accidente de Tránsito,46,Patrullero,315,CRÍTICO,1
2026-02-09,Los Olivos,Emergencia Médica,15,Ambulancia,2370,MEDIO,3
2026-07-05,Carabayllo,Accidente de Tránsito,36,Bomberos,4788,ALTO,1
2026-04-09,Puente Piedra,Incendio,15,Patrullero,3093,CRÍTICO,1
2026-01-01,Comas,Accidente de Tránsito,29,Patrullero,1442,ALTO,1
2026-04-10,Puente Piedra,Incendio,30,SAMU,4442,CRÍTICO,1
2026-05-04,Puente Piedra,Rescate,23,Patrullero,1265,MEDIO,2
2026-02-19,Puente Piedra,Emergencia Médica,17,Ambulancia,2041,MEDIO,2
2026-01-28,Comas,Accidente de Tránsito,21,Patrullero,524,ALTO,1
2026-05-26,Carabayllo,Incendio,53,Ambulancia,3665,ALTO,1
2026-04-02,Puente Piedra,Emergencia Médica,8,Bomberos,870,MEDIO,2
2026-06-07,Comas,Incendio,23,SAMU,1079,ALTO,1
2026-01-27,Comas,Accidente de Tránsito,31,Patrullero,3506,ALTO,1
2026-03-21,Comas,Incendio,42,Bomberos,2204,ALTO,1
2026-06-18,Comas,Accidente de Tránsito,6,Ambulancia,988,CRÍTICO,1
2026-06-15,Independencia,Accidente de Tránsito,55,Patrullero,2588,CRÍTICO,1
2026-04-15,Independencia,Emergencia Médica,26,Bomberos,921,BAJO,2
2026-04-10,Carabayllo,Emergencia Médica,51,Bomberos,3057,ALTO,2
2026-04-11,Comas,Accidente de Tránsito,23,Patrullero,3593,CRÍTICO,1
2026-01-02,Los Olivos,Rescate,25,Bomberos,4981,MEDIO,3
2026-06-21,Comas,Incendio,8,Patrullero,1760,CRÍTICO,1
2026-01-22,Los Olivos,Accidente de Tránsito,44,Bomberos,3186,CRÍTICO,1
2026-06-03,Comas,Rescate,54,Ambulancia,2797,BAJO,3
2026-02-02,Independencia,Accidente de Tránsito,22,Bomberos,4097,ALTO,1
2026-06-06,Independencia,Rescate,26,SAMU,4472,BAJO,2
2026-05-07,Comas,Accidente de Tránsito,26,Ambulancia,883,ALTO,1
2026-04-11,Carabayllo,Accidente de Tránsito,5,Ambulancia,3040,ALTO,1
2026-02-08,Independencia,Rescate,31,Patrullero,4381,ALTO,3
2026-04-06,Los Olivos,Rescate,57,Ambulancia,2474,MEDIO,3
2026-05-22,Los Olivos,Rescate,35,Bomberos,2915,ALTO,2
2026-05-06,Carabayllo,Rescate,19,Ambulancia,3125,BAJO,3
2026-03-05,Los Olivos,Incendio,32,SAMU,4939,CRÍTICO,1
2026-04-09,Independencia,Emergencia Médica,49,SAMU,987,BAJO,3
2026-05-13,Los Olivos,Accidente de Tránsito,36,Bomberos,3218,ALTO,1
2026-03-29,Los Olivos,Rescate,34,Ambulancia,466,MEDIO,2
2026-05-25,Independencia,Emergencia Médica,29,SAMU,4793,MEDIO,3
2026-05-22,Puente Piedra,Incendio,48,Patrullero,738,ALTO,1
2026-06-28,Independencia,Accidente de Tránsito,23,Patrullero,1197,CRÍTICO,1
2026-01-09,Los Olivos,Incendio,57,Bomberos,305,CRÍTICO,1
2026-05-26,Comas,Rescate,6,SAMU,919,MEDIO,3
2026-02-16,Comas,Emergencia Médica,14,SAMU,3863,MEDIO,2
2026-05-09,Puente Piedra,Rescate,46,Patrullero,3158,BAJO,2
2026-03-30,Los Olivos,Accidente de Tránsito,32,Ambulancia,2064,CRÍTICO,1
2026-05-01,Comas,Rescate,40,SAMU,2620,MEDIO,3
2026-02-14,Independencia,Incendio,12,Patrullero,1591,CRÍTICO,1
2026-04-12,Los Olivos,Accidente de Tránsito,9,Ambulancia,2987,ALTO,1
2026-02-15,Comas,Emergencia Médica,38,Patrullero,381,MEDIO,3
2026-04-20,Puente Piedra,Rescate,36,SAMU,1895,BAJO,2
2026-05-04,Carabayllo,Accidente de Tránsito,29,Bomberos,1994,ALTO,1
2026-05-13,Comas,Incendio,33,Patrullero,2151,CRÍTICO,1
2026-02-17,Carabayllo,Rescate,14,Patrullero,3277,BAJO,2
2026-06-23,Carabayllo,Rescate,37,SAMU,4007,MEDIO,3
2026-04-29,Comas,Incendio,14,Ambulancia,4962,CRÍTICO,1
2026-04-27,Carabayllo,Rescate,31,Bomberos,4826,MEDIO,3
2026-01-04,Puente Piedra,Emergencia Médica,8,Patrullero,1753,ALTO,2
2026-06-30,Independencia,Accidente de Tránsito,46,Patrullero,4815,ALTO,1
2026-04-26,Los Olivos,Incendio,29,Bomberos,2182,ALTO,1
2026-06-06,Carabayllo,Accidente de Tránsito,34,Patrullero,3870,CRÍTICO,1
2026-07-05,Independencia,Emergencia Médica,41,Patrullero,4482,BAJO,3
2026-02-22,Independencia,Rescate,28,Ambulancia,3624,ALTO,3
2026-06-23,Puente Piedra,Incendio,52,Ambulancia,314,ALTO,1
2026-06-05,Comas,Rescate,42,Patrullero,1892,BAJO,2
2026-06-17,Carabayllo,Emergencia Médica,50,Bomberos,1557,MEDIO,3
2026-04-07,Comas,Rescate,30,Bomberos,576,MEDIO,3
2026-01-26,Los Olivos,Incendio,11,SAMU,4955,ALTO,1
2026-06-02,Puente Piedra,Accidente de Tránsito,36,Ambulancia,4952,ALTO,1
2026-03-26,Independencia,Incendio,25,Bomberos,3819,ALTO,1
2026-06-01,Carabayllo,Incendio,21,SAMU,1441,ALTO,1
2026-04-13,Comas,Accidente de Tránsito,34,SAMU,488,CRÍTICO,1
2026-06-12,Carabayllo,Rescate,10,Bomberos,1670,ALTO,2
2026-05-25,Comas,Rescate,38,Ambulancia,3890,MEDIO,2
2026-05-18,Carabayllo,Rescate,16,SAMU,4587,MEDIO,3
2026-01-03,Puente Piedra,Rescate,18,Ambulancia,4499,MEDIO,2
2026-01-23,Carabayllo,Accidente de Tránsito,52,Bomberos,3591,ALTO,1
2026-03-12,Independencia,Incendio,35,Ambulancia,710,ALTO,1
2026-03-30,Comas,Incendio,6,Patrullero,684,CRÍTICO,1
2026-04-24,Comas,Rescate,59,SAMU,1940,ALTO,2
2026-02-20,Puente Piedra,Emergencia Médica,59,Patrullero,1043,ALTO,2
2026-06-08,Carabayllo,Rescate,34,Patrullero,3932,BAJO,3
2026-05-15,Comas,Incendio,46,Ambulancia,2054,ALTO,1
2026-01-18,Puente Piedra,Incendio,57,Patrullero,2030,ALTO,1
2026-06-19,Independencia,Accidente de Tránsito,16,Bomberos,2953,ALTO,1
2026-07-01,Puente Piedra,Emergencia Médica,42,Patrullero,3078,MEDIO,2
2026-01-02,Puente Piedra,Incendio,33,Bomberos,3128,ALTO,1
2026-04-12,Puente Piedra,Rescate,55,SAMU,1070,MEDIO,2
2026-02-08,Carabayllo,Accidente de Tránsito,32,SAMU,1208,CRÍTICO,1
2026-01-14,Puente Piedra,Incendio,26,Ambulancia,2427,ALTO,1
2026-05-16,Puente Piedra,Rescate,50,Patrullero,4154,ALTO,3
2026-03-19,Comas,Emergencia Médica,19,SAMU,1193,MEDIO,2
2026-06-18,Carabayllo,Rescate,41,SAMU,1397,BAJO,2
2026-01-30,Los Olivos,Emergencia Médica,10,Ambulancia,2061,MEDIO,2
2026-04-09,Independencia,Rescate,58,Ambulancia,1097,ALTO,3
2026-05-20,Los Olivos,Emergencia Médica,30,Patrullero,2501,BAJO,3
2026-04-12,Carabayllo,Rescate,44,Patrullero,2553,BAJO,3
2026-01-20,Carabayllo,Emergencia Médica,6,SAMU,414,ALTO,2
2026-02-20,Puente Piedra,Emergencia Médica,37,Bomberos,4509,MEDIO,2
2026-02-08,Puente Piedra,Incendio,48,Patrullero,2127,ALTO,1
2026-05-06,Independencia,Accidente de Tránsito,37,Ambulancia,2551,CRÍTICO,1
2026-03-09,Carabayllo,Accidente de Tránsito,53,Bomberos,4667,CRÍTICO,1
2026-01-29,Independencia,Emergencia Médica,53,Ambulancia,3094,MEDIO,3
2026-05-28,Independencia,Incendio,24,SAMU,2712,ALTO,1
2026-06-30,Puente Piedra,Accidente de Tránsito,49,Ambulancia,3089,ALTO,1
2026-01-17,Puente Piedra,Accidente de Tránsito,9,Patrullero,1790,ALTO,1
2026-02-14,Puente Piedra,Rescate,20,Ambulancia,1016,MEDIO,2
2026-03-06,Carabayllo,Rescate,30,Bomberos,2550,ALTO,3
2026-02-04,Carabayllo,Incendio,21,SAMU,617,ALTO,1
2026-03-24,Independencia,Rescate,31,Bomberos,1908,ALTO,2
2026-04-23,Comas,Incendio,10,SAMU,391,CRÍTICO,1
2026-06-26,Comas,Emergencia Médica,46,Bomberos,590,ALTO,2
2026-05-07,Independencia,Emergencia Médica,52,Bomberos,4629,MEDIO,3
2026-03-03,Comas,Rescate,14,Patrullero,4203,ALTO,2
2026-06-05,Independencia,Accidente de Tránsito,30,Patrullero,4564,ALTO,1
2026-04-15,Independencia,Rescate,56,SAMU,1879,MEDIO,2
2026-04-16,Carabayllo,Accidente de Tránsito,39,Patrullero,2480,ALTO,1
2026-05-23,Independencia,Rescate,36,Ambulancia,969,MEDIO,2
2026-02-11,Carabayllo,Accidente de Tránsito,22,SAMU,4088,ALTO,1
2026-03-11,Puente Piedra,Accidente de Tránsito,60,SAMU,3731,ALTO,1
2026-04-12,Independencia,Incendio,47,Patrullero,4891,CRÍTICO,1
2026-06-23,Carabayllo,Incendio,48,Ambulancia,4052,ALTO,1
2026-05-05,Puente Piedra,Accidente de Tránsito,45,SAMU,3398,ALTO,1
2026-01-29,Carabayllo,Emergencia Médica,7,Patrullero,4634,MEDIO,2
2026-03-09,Los Olivos,Accidente de Tránsito,47,Bomberos,3819,ALTO,1
2026-05-22,Independencia,Rescate,12,Ambulancia,2138,ALTO,3
2026-01-05,Puente Piedra,Rescate,34,SAMU,1331,BAJO,3
2026-04-15,Puente Piedra,Emergencia Médica,55,Ambulancia,4119,BAJO,3
2026-03-08,Independencia,Accidente de Tránsito,22,SAMU,4470,ALTO,1
2026-04-10,Puente Piedra,Accidente de Tránsito,25,Patrullero,4458,ALTO,1
2026-05-30,Comas,Accidente de Tránsito,34,SAMU,2348,CRÍTICO,1
2026-05-18,Los Olivos,Incendio,31,Patrullero,2388,CRÍTICO,1
2026-07-03,Carabayllo,Incendio,53,Bomberos,644,CRÍTICO,1
2026-06-15,Comas,Accidente de Tránsito,28,Patrullero,4957,ALTO,1
2026-03-13,Los Olivos,Emergencia Médica,52,Bomberos,2960,BAJO,3
2026-02-23,Comas,Incendio,7,Patrullero,2309,ALTO,1
2026-03-28,Puente Piedra,Rescate,57,Patrullero,1058,ALTO,2
2026-01-28,Puente Piedra,Accidente de Tránsito,36,Patrullero,1105,CRÍTICO,1
2026-01-07,Independencia,Accidente de Tránsito,13,Bomberos,4809,CRÍTICO,1
2026-04-02,Comas,Accidente de Tránsito,13,SAMU,2850,CRÍTICO,1
2026-04-24,Puente Piedra,Incendio,43,Ambulancia,4502,CRÍTICO,1
2026-06-10,Independencia,Rescate,12,Bomberos,4453,ALTO,3
2026-04-12,Puente Piedra,Accidente de Tránsito,37,Ambulancia,3419,ALTO,1
2026-04-06,Comas,Incendio,56,Ambulancia,4637,CRÍTICO,1
2026-04-11,Puente Piedra,Rescate,7,SAMU,1409,MEDIO,3
2026-04-24,Los Olivos,Incendio,22,Bomberos,3130,ALTO,1
2026-03-31,Carabayllo,Emergencia Médica,58,SAMU,582,MEDIO,2
2026-01-31,Comas,Accidente de Tránsito,20,Bomberos,1742,ALTO,1
2026-04-27,Independencia,Accidente de Tránsito,22,Patrullero,2049,CRÍTICO,1
2026-01-27,Independencia,Incendio,13,Ambulancia,2138,ALTO,1
2026-02-16,Puente Piedra,Incendio,58,Bomberos,4472,ALTO,1
2026-05-26,Puente Piedra,Incendio,46,Patrullero,3360,ALTO,1
2026-01-07,Carabayllo,Accidente de Tránsito,48,Bomberos,3173,CRÍTICO,1
2026-03-24,Comas,Incendio,49,Ambulancia,1017,CRÍTICO,1
2026-03-31,Los Olivos,Rescate,9,Bomberos,1121,BAJO,3
2026-02-22,Puente Piedra,Accidente de Tránsito,29,SAMU,2300,CRÍTICO,1
2026-04-19,Independencia,Accidente de Tránsito,12,Bomberos,739,CRÍTICO,1
2026-06-01,Independencia,Accidente de Tránsito,34,Bomberos,927,CRÍTICO,1
2026-06-09,Carabayllo,Emergencia Médica,26,Ambulancia,3508,BAJO,3
2026-06-01,Los Olivos,Accidente de Tránsito,29,Patrullero,341,ALTO,1
2026-03-14,Comas,Rescate,5,Patrullero,1859,BAJO,3
2026-06-08,Comas,Incendio,35,SAMU,4945,ALTO,1
2026-04-07,Puente Piedra,Emergencia Médica,52,Bomberos,1007,BAJO,3
2026-03-09,Carabayllo,Accidente de Tránsito,28,Bomberos,4842,ALTO,1
2026-02-22,Independencia,Emergencia Médica,39,Patrullero,2440,BAJO,3
2026-03-10,Independencia,Rescate,22,Patrullero,3116,BAJO,3
2026-03-10,Puente Piedra,Incendio,28,Ambulancia,2167,ALTO,1
2026-03-26,Comas,Accidente de Tránsito,50,SAMU,3697,CRÍTICO,1
2026-04-01,Puente Piedra,Incendio,13,Ambulancia,414,CRÍTICO,1
2026-05-31,Carabayllo,Rescate,37,SAMU,1231,ALTO,2
2026-02-27,Puente Piedra,Emergencia Médica,16,Ambulancia,549,ALTO,2
2026-01-09,Comas,Incendio,25,SAMU,3722,CRÍTICO,1
2026-01-03,Comas,Accidente de Tránsito,52,SAMU,4853,CRÍTICO,1
2026-03-08,Comas,Incendio,36,Ambulancia,3682,ALTO,1
2026-04-04,Carabayllo,Accidente de Tránsito,22,Patrullero,3460,CRÍTICO,1
2026-03-27,Carabayllo,Emergencia Médica,42,Ambulancia,2929,MEDIO,3
2026-03-09,Carabayllo,Rescate,44,Bomberos,4404,ALTO,3
2026-03-24,Los Olivos,Accidente de Tránsito,16,Patrullero,3714,ALTO,1
2026-05-07,Independencia,Accidente de Tránsito,34,Ambulancia,3009,CRÍTICO,1
2026-01-17,Comas,Emergencia Médica,16,Ambulancia,713,BAJO,2
2026-02-09,Los Olivos,Emergencia Médica,45,Bomberos,342,BAJO,2
2026-03-29,Puente Piedra,Accidente de Tránsito,49,Bomberos,2703,ALTO,1
2026-04-10,Independencia,Rescate,16,Bomberos,4978,ALTO,3
2026-04-19,Los Olivos,Rescate,55,Patrullero,850,ALTO,3
2026-01-17,Independencia,Incendio,10,Patrullero,3791,CRÍTICO,1
2026-02-08,Comas,Rescate,33,Patrullero,4691,ALTO,2
2026-04-12,Independencia,Emergencia Médica,37,Bomberos,1521,ALTO,3
2026-02-21,Puente Piedra,Accidente de Tránsito,29,Bomberos,462,ALTO,1
2026-03-14,Independencia,Emergencia Médica,34,Bomberos,4390,ALTO,2
2026-01-02,Comas,Rescate,9,Ambulancia,606,MEDIO,2
2026-02-27,Puente Piedra,Emergencia Médica,54,Patrullero,4968,ALTO,2
2026-01-08,Carabayllo,Incendio,11,Bomberos,2269,CRÍTICO,1
2026-06-13,Los Olivos,Rescate,38,Patrullero,4057,BAJO,2
2026-03-17,Los Olivos,Accidente de Tránsito,43,Ambulancia,4294,ALTO,1
2026-03-16,Carabayllo,Rescate,53,Patrullero,1573,MEDIO,2
2026-05-04,Comas,Emergencia Médica,55,Bomberos,2827,BAJO,3
2026-05-29,Puente Piedra,Incendio,6,SAMU,2965,ALTO,1
2026-04-12,Puente Piedra,Accidente de Tránsito,29,Ambulancia,311,ALTO,1
2026-01-11,Los Olivos,Emergencia Médica,30,SAMU,2099,ALTO,2
2026-04-02,Carabayllo,Emergencia Médica,29,SAMU,1995,BAJO,2
2026-03-29,Los Olivos,Emergencia Médica,48,Bomberos,1139,BAJO,3
2026-02-22,Los Olivos,Incendio,11,Bomberos,1433,ALTO,1
2026-05-11,Los Olivos,Incendio,7,Bomberos,2510,ALTO,1
2026-01-06,Independencia,Accidente de Tránsito,10,SAMU,3782,CRÍTICO,1
2026-05-28,Carabayllo,Incendio,37,Bomberos,3123,CRÍTICO,1
2026-01-18,Independencia,Emergencia Médica,10,Ambulancia,1184,MEDIO,2
2026-02-19,Carabayllo,Emergencia Médica,57,Bomberos,390,ALTO,2
2026-02-14,Independencia,Rescate,10,Patrullero,2859,MEDIO,2
2026-07-04,Puente Piedra,Emergencia Médica,49,Ambulancia,1336,BAJO,2
2026-05-29,Comas,Incendio,34,Patrullero,1706,CRÍTICO,1
2026-06-29,Independencia,Accidente de Tránsito,56,SAMU,2888,ALTO,1
2026-04-23,Los Olivos,Rescate,16,SAMU,1941,BAJO,2
2026-03-27,Comas,Incendio,53,Bomberos,396,CRÍTICO,1
2026-07-06,Puente Piedra,Accidente de Tránsito,29,SAMU,918,CRÍTICO,1
2026-04-16,Puente Piedra,Emergencia Médica,5,Ambulancia,4251,ALTO,2
2026-03-27,Comas,Accidente de Tránsito,58,Ambulancia,2860,ALTO,1
2026-04-16,Independencia,Emergencia Médica,56,Patrullero,4630,ALTO,2
2026-02-15,Puente Piedra,Emergencia Médica,11,Patrullero,4877,MEDIO,3
2026-05-30,Independencia,Accidente de Tránsito,19,SAMU,3873,ALTO,1
2026-02-17,Carabayllo,Incendio,47,SAMU,875,CRÍTICO,1
2026-02-17,Carabayllo,Rescate,53,Ambulancia,2547,ALTO,3
2026-03-26,Comas,Rescate,8,Patrullero,3745,BAJO,2
2026-06-10,Comas,Rescate,15,SAMU,1096,MEDIO,2
2026-03-02,Comas,Rescate,42,Bomberos,1324,MEDIO,3
2026-05-10,Comas,Emergencia Médica,52,Ambulancia,2160,ALTO,2
2026-03-17,Independencia,Emergencia Médica,5,SAMU,2892,BAJO,2
2026-02-18,Puente Piedra,Incendio,38,SAMU,1465,CRÍTICO,1
2026-03-21,Los Olivos,Rescate,52,Bomberos,4049,BAJO,3
2026-05-14,Puente Piedra,Incendio,40,Bomberos,2462,ALTO,1
2026-03-02,Puente Piedra,Incendio,40,Ambulancia,4390,ALTO,1
2026-03-15,Los Olivos,Emergencia Médica,36,SAMU,614,BAJO,2
2026-03-08,Independencia,Accidente de Tránsito,22,Ambulancia,1208,CRÍTICO,1
2026-02-15,Los Olivos,Rescate,19,Patrullero,3087,BAJO,3
2026-06-24,Puente Piedra,Accidente de Tránsito,34,SAMU,2034,CRÍTICO,1
2026-04-14,Carabayllo,Accidente de Tránsito,38,Bomberos,2111,ALTO,1
2026-01-13,Comas,Emergencia Médica,54,Patrullero,541,ALTO,2
2026-05-15,Comas,Incendio,21,Ambulancia,3966,CRÍTICO,1
2026-05-10,Carabayllo,Rescate,27,Bomberos,2047,MEDIO,3
2026-02-06,Carabayllo,Incendio,15,Patrullero,4689,ALTO,1
2026-01-22,Independencia,Rescate,9,Patrullero,3335,BAJO,3
2026-01-16,Puente Piedra,Emergencia Médica,13,Bomberos,1887,ALTO,2
2026-03-20,Puente Piedra,Accidente de Tránsito,52,Patrullero,3914,ALTO,1
2026-02-16,Los Olivos,Rescate,52,Bomberos,3258,MEDIO,3
2026-06-10,Carabayllo,Accidente de Tránsito,37,Patrullero,1420,ALTO,1
2026-06-15,Carabayllo,Incendio,35,SAMU,4993,CRÍTICO,1
2026-03-15,Puente Piedra,Incendio,17,Ambulancia,1683,CRÍTICO,1
2026-04-12,Comas,Incendio,17,SAMU,3440,CRÍTICO,1
2026-02-26,Los Olivos,Incendio,22,Ambulancia,4867,CRÍTICO,1
2026-03-06,Los Olivos,Incendio,36,Patrullero,2881,CRÍTICO,1
2026-03-29,Los Olivos,Incendio,22,SAMU,2621,ALTO,1
2026-06-26,Puente Piedra,Incendio,51,Patrullero,2551,ALTO,1
2026-01-04,Carabayllo,Emergencia Médica,17,SAMU,2767,MEDIO,2
2026-04-27,Carabayllo,Rescate,55,Bomberos,3946,ALTO,3
2026-01-30,Independencia,Emergencia Médica,45,Ambulancia,4788,ALTO,3
2026-01-05,Los Olivos,Emergencia Médica,18,Ambulancia,419,ALTO,3
2026-07-02,Comas,Emergencia Médica,38,Patrullero,2764,ALTO,2
2026-05-09,Los Olivos,Rescate,46,Patrullero,4237,MEDIO,3
2026-04-30,Los Olivos,Emergencia Médica,17,SAMU,656,MEDIO,2
2026-05-09,Puente Piedra,Emergencia Médica,57,SAMU,417,ALTO,3
2026-05-27,Comas,Rescate,28,Patrullero,2665,MEDIO,3
2026-06-22,Independencia,Accidente de Tránsito,58,SAMU,680,ALTO,1
2026-04-09,Independencia,Accidente de Tránsito,43,Bomberos,2411,ALTO,1
2026-03-06,Puente Piedra,Rescate,31,Patrullero,4104,BAJO,3
2026-05-08,Independencia,Accidente de Tránsito,11,Patrullero,4937,ALTO,1
2026-05-13,Independencia,Rescate,12,Patrullero,3108,MEDIO,2
2026-01-26,Comas,Emergencia Médica,43,Ambulancia,1229,ALTO,2
2026-04-10,Independencia,Incendio,40,SAMU,640,CRÍTICO,1
2026-06-03,Puente Piedra,Rescate,59,Ambulancia,3878,BAJO,2
2026-04-13,Los Olivos,Rescate,32,SAMU,1421,BAJO,3
2026-05-29,Puente Piedra,Accidente de Tránsito,34,Ambulancia,3518,CRÍTICO,1
2026-03-02,Puente Piedra,Accidente de Tránsito,38,SAMU,4242,CRÍTICO,1
2026-05-01,Independencia,Emergencia Médica,16,SAMU,1653,BAJO,3
2026-06-13,Carabayllo,Rescate,54,Patrullero,4964,MEDIO,3
2026-06-18,Puente Piedra,Rescate,9,Patrullero,4800,BAJO,3
2026-01-14,Los Olivos,Accidente de Tránsito,50,Ambulancia,3357,ALTO,1
2026-02-01,Carabayllo,Incendio,26,Bomberos,1310,ALTO,1
2026-03-20,Puente Piedra,Emergencia Médica,11,Bomberos,1907,ALTO,2
2026-02-24,Puente Piedra,Accidente de Tránsito,41,SAMU,1483,CRÍTICO,1
2026-07-05,Puente Piedra,Rescate,18,Ambulancia,3295,BAJO,2
2026-05-01,Puente Piedra,Incendio,34,SAMU,4651,ALTO,1
2026-06-26,Puente Piedra,Rescate,21,Ambulancia,3468,BAJO,2
2026-03-01,Comas,Accidente de Tránsito,18,SAMU,972,CRÍTICO,1
2026-05-31,Independencia,Incendio,7,Patrullero,4460,CRÍTICO,1
2026-04-05,Comas,Accidente de Tránsito,57,Patrullero,949,CRÍTICO,1
2026-01-10,Comas,Incendio,25,Patrullero,1575,CRÍTICO,1
2026-03-21,Los Olivos,Rescate,27,Bomberos,598,MEDIO,2
2026-03-26,Carabayllo,Rescate,34,Bomberos,3151,MEDIO,2
2026-03-06,Puente Piedra,Rescate,43,Patrullero,2099,BAJO,2
2026-04-07,Carabayllo,Incendio,13,SAMU,1416,ALTO,1
2026-05-09,Los Olivos,Rescate,40,SAMU,3320,BAJO,2
2026-02-06,Puente Piedra,Incendio,46,SAMU,1650,ALTO,1
2026-05-31,Los Olivos,Incendio,60,Patrullero,3998,CRÍTICO,1
2026-05-14,Independencia,Incendio,53,Bomberos,4760,CRÍTICO,1
2026-02-18,Carabayllo,Incendio,40,SAMU,884,ALTO,1
2026-06-04,Carabayllo,Incendio,12,SAMU,976,ALTO,1
2026-03-20,Los Olivos,Accidente de Tránsito,13,Ambulancia,1925,ALTO,1
2026-06-19,Carabayllo,Emergencia Médica,22,Bomberos,3691,MEDIO,2
2026-01-14,Independencia,Emergencia Médica,37,Ambulancia,4501,ALTO,3
2026-05-03,Independencia,Emergencia Médica,19,Bomberos,2880,MEDIO,3
2026-03-23,Carabayllo,Accidente de Tránsito,59,Patrullero,3398,CRÍTICO,1
2026-05-09,Carabayllo,Rescate,25,Bomberos,391,ALTO,3
2026-07-04,Los Olivos,Incendio,47,Ambulancia,2891,CRÍTICO,1
2026-05-18,Comas,Rescate,6,SAMU,765,MEDIO,3
2026-04-02,Carabayllo,Accidente de Tránsito,42,Bomberos,2763,ALTO,1
2026-06-22,Comas,Emergencia Médica,29,Ambulancia,653,BAJO,2
2026-06-07,Comas,Emergencia Médica,34,Bomberos,1872,ALTO,2
2026-05-23,Los Olivos,Rescate,28,Ambulancia,4264,MEDIO,3
2026-04-09,Independencia,Rescate,16,Ambulancia,930,BAJO,3
2026-06-10,Independencia,Incendio,39,Ambulancia,2272,ALTO,1
2026-02-08,Puente Piedra,Rescate,29,Patrullero,1384,BAJO,3
2026-05-16,Carabayllo,Emergencia Médica,48,Bomberos,1081,BAJO,3
2026-01-29,Los Olivos,Rescate,45,Ambulancia,2089,ALTO,2
2026-06-04,Puente Piedra,Emergencia Médica,33,Patrullero,4835,BAJO,3
2026-05-05,Carabayllo,Rescate,25,SAMU,2764,ALTO,2
2026-04-30,Carabayllo,Incendio,8,Ambulancia,3415,CRÍTICO,1
2026-05-11,Independencia,Rescate,56,SAMU,2261,ALTO,3
2026-05-04,Puente Piedra,Incendio,43,Patrullero,4530,CRÍTICO,1
2026-03-24,Carabayllo,Accidente de Tránsito,9,Bomberos,3715,ALTO,1
2026-03-16,Independencia,Rescate,32,Bomberos,2303,BAJO,3
2026-01-02,Carabayllo,Rescate,28,SAMU,3767,BAJO,3
2026-04-23,Carabayllo,Emergencia Médica,42,Ambulancia,3671,BAJO,2
2026-05-14,Comas,Incendio,36,Patrullero,2951,ALTO,1
